timestamp,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,obs_64
0.0,18.620033,11.251124,453.0162,0.006837455,-0.029647987,-0.031522352,0.03981013,-0.019460844,-0.032547385,0.0,0.0,0.0,0.0,0.0035174892,1.0007273,-1.7982754,-0.005687131,0.99375194,-1.791592,-0.0072418293,0.993492,-1.807021,0.004950858,1.0046421,-1.791433,-0.06596859,-0.022994353,0.06327379,-0.03666806,0.047816776,0.06784252,0.018637868,-0.008315173,0.05833336,0.036516476,-0.035263363,0.04608802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15485235,-0.17794926,0.23603587,0.039982695,-0.24368863,-0.21773122,-0.15520398,0.38144353,-0.35137406,0.34896395,-0.43784785,-0.054304317,0.101907015,-0.2696526,-0.18405262,-0.3847645
0.02,8.636557,4.7405534,125.93028,-0.26908037,-0.4747774,-0.071244545,-0.017097466,-0.033511486,0.002742271,0.0,0.0,0.0,0.0,-0.026954474,-0.20880917,0.484643,0.0463753,-0.26299542,0.41067117,-0.067676835,-0.18898436,0.48501825,0.095184766,-0.21047124,0.4148458,-0.057012882,-1.0278745,1.3369343,0.070695855,-1.2078512,1.4159532,-0.22024515,-0.768986,1.5352141,0.44905204,-0.999119,1.399752,24.648909,-54.561165,28.212788,-7.130291,-5.0333123,58.792233,57.67598,-36.54133,31.507177,-8.570817,-17.608713,18.867867,0.47502533,0.17271826,-0.030449234,0.14420927,-0.2660093,0.3654318,-0.24864425,-0.26367918,0.37853274,-0.25537893,-0.33386454,-0.40795046,-0.24345271,-0.27750874,0.35813546,0.019186508
0.04,48.49038,5.453517,11.744397,-0.35781717,-0.20051493,0.2102229,0.047043584,-0.07561985,-0.044446785,0.0,0.0,0.0,0.0008107907,0.14796115,-0.62745047,0.82894206,0.13754235,-0.8154373,0.76972234,0.007456852,-0.56137204,0.86469674,0.19272274,-0.61663544,0.8138532,0.4215735,-0.77816385,0.50887835,0.44069546,-1.8601083,1.6983452,0.27358168,-0.943002,0.83711934,-0.34601018,-1.0316185,0.7567124,8.743798,-5.9165716,27.06256,3.6908343,-7.4239173,50.55917,12.863891,-34.768963,28.95323,-13.6205,-20.47126,13.563711,0.18402612,-0.1621788,-0.37755084,0.39277604,0.028087284,-0.24287854,0.47619525,-0.38010165,0.1587533,0.09954651,-0.030514015,-0.2812393,-0.21242933,-0.21686758,-0.38219202,-0.009743081
0.06,37.188137,-2.7852464,-23.10627,0.12760569,-0.100120895,0.50472164,-0.0197871,-0.061162665,-0.005974467,0.0,0.0,0.0,0.00044397934,0.31352273,-0.8486795,1.0035743,0.28295377,-1.1047763,0.66078275,0.1679749,-0.79837596,1.0359278,-0.04618465,-0.8659672,1.005953,0.33313617,-0.5574765,0.25175962,0.19074346,-0.8030876,1.2990437,0.32334685,-0.3592713,0.12041,-0.5419142,-0.47877672,0.44993168,7.1273847,-6.102269,22.48838,4.579562,-1.740426,37.41688,24.713863,-32.86413,15.571788,-11.403861,-12.416383,10.581014,0.17573099,0.0718926,-0.35985318,0.40903842,0.45825714,0.35496765,0.1632012,0.2581136,-0.057614367,-0.1010582,-0.42613602,0.38576165,0.020651704,0.23876628,-0.13497096,-0.09791576
0.08,55.52884,-10.550113,-20.503366,0.59861994,0.18800007,0.47039655,0.048263717,-0.11145335,0.008948957,0.0,0.0,0.0,-0.0064650797,0.4174821,-1.0035486,0.9832818,0.33744627,-1.0436774,0.6599877,0.29761755,-0.938616,1.0607064,-0.21090245,-1.0169339,1.0531522,0.11433207,-0.4473468,0.15066719,0.25274032,-0.19044521,1.801446,0.30031443,-0.4002684,-0.06887549,-0.24635065,-0.40077212,-0.034143575,5.652494,-4.765451,13.450224,2.7512774,-0.48974246,24.479149,18.90017,-26.235048,8.265777,-8.452176,-8.364623,7.9542766,0.43550158,-0.2888261,-0.10685493,-0.45566443,0.32523704,0.29963347,-0.46683013,0.331395,-0.28571323,-0.13887316,-0.078707956,-0.010133797,0.47388864,0.39689398,0.026332555,-0.09559655
0.1,60.107933,-10.516862,-12.1917,0.5919246,0.5713591,0.2655284,0.06515961,-0.08056259,0.049250286,0.0,0.0,0.0,-0.014512181,0.52358156,-1.0154648,0.93243176,0.3969337,-0.666701,0.6885553,0.39668423,-1.0779587,1.0495982,-0.36048913,-1.1386986,1.0223343,0.1274355,0.20619349,-0.2874119,0.13931544,0.18493415,2.550382,0.2039136,-0.29758164,-0.06109275,-0.38770136,-0.23614013,-0.056550045,5.4589977,-2.5537124,10.682016,2.6598277,0.36972415,19.827019,16.166504,-19.773579,5.9490476,-4.9073706,-4.771075,7.102246,-0.488793,0.4586999,0.34121946,-0.47654024,0.43688968,-0.3922943,-0.07592889,-0.16651501,-0.170586,0.03080145,-0.32830432,0.45681024,-0.05694933,-0.42185628,0.32281283,0.3550773
0.12000000000000001,-17.028423,16.10252,26.934258,0.43962955,0.47086787,0.24106693,0.07491543,-0.054385044,0.033805665,0.0,0.0,0.0,-0.021206649,0.5265182,-0.8824541,0.8285562,0.48120767,-0.30208102,0.88713336,0.43651977,-1.2141345,1.0353216,-0.5014097,-1.141082,0.9315099,0.13624482,1.7879763,-3.7509947,0.15911704,-0.31129223,3.7561636,0.07162434,-0.3178536,0.01753124,-0.37867367,0.45429185,-0.6859489,5.149909,-2.3571496,9.441179,2.093298,0.50712293,17.231476,15.62884,-15.884147,4.9044447,-2.2809346,-2.9874249,5.5801673,0.015423951,0.44739872,-0.42569888,0.13990544,0.14401866,-0.29773206,-0.0731201,0.119510174,-0.02372548,-0.0604597,0.26477,-0.4911635,-0.052148353,-0.10197023,0.47873676,-0.42524555
0.14,-112.65519,3.9676948,17.834818,-1.3255681,-0.25200862,0.3638824,0.07736978,0.0020067156,0.044964984,0.0,0.0,0.0,-0.025161866,0.36858642,-0.72239864,0.66913533,0.417477,-0.018703438,1.0114276,0.38242337,-1.3030038,0.9549132,-0.458077,-1.1516935,0.92458713,0.13881883,1.5574018,-2.8957057,-0.48374748,0.20820303,0.79714644,-0.35722536,-0.07525977,-0.41863218,0.070741706,0.9908249,-2.6033726,0.7898798,-1.9019266,4.824938,-0.8545185,-2.33083,7.988365,0.61605674,-4.7725887,5.7373323,-0.70274484,-4.7755904,3.2166753,0.42125383,-0.14055105,0.22127005,0.34179553,0.11141526,-0.11298484,-0.038830094,-0.008524802,0.40245327,-0.13011338,0.013674927,-0.21850187,0.4743488,0.13291392,-0.12782712,0.33066726
0.16,-60.565018,3.5771072,113.3229,-0.43114972,-1.1735417,0.6885311,-0.023710735,-0.11475054,0.027374854,0.0,0.0,0.0,-0.03001734,0.2460257,-0.87035006,0.82804793,0.14040658,0.014729397,1.023559,0.32714102,-1.3575634,0.8775669,-0.0968944,-1.3372873,0.92893034,0.11197354,0.3399048,-2.117222,-0.92135936,-0.39852396,0.7904306,0.2796615,1.0114229,-3.5564954,0.70598793,0.46110857,-2.7016213,0.58893234,-6.471648,3.7371635,-3.6274166,-0.40445304,5.8997316,10.801257,-6.4618134,9.712256,5.7564507,-6.8991685,6.2425427,0.45527223,0.48688987,0.024160704,-0.47477067,-0.4402422,0.25915074,-0.15062924,-0.42612466,0.008455678,0.055991188,-0.22578838,-0.024351146,-0.3200057,-0.24831168,-0.35281572,0.46084866
0.18,-34.737,-6.2334766,95.60917,0.04971065,-1.096866,0.5436234,-0.048215516,-0.15796168,-0.04081871,0.0,0.0,0.0,-0.040375665,0.31402138,-1.1056738,0.90147406,-0.18322523,-0.022652144,1.0061327,0.40414461,-1.4049062,0.6502335,0.21904413,-1.5031786,0.76683474,0.7784843,0.9824618,-3.8170252,-0.86141574,-1.1472478,2.4715946,0.42290378,0.2924909,-1.1790226,0.4126357,0.35061058,-1.6424315,4.4398556,-10.75316,4.276074,-5.907464,-2.3847842,8.732211,11.8962,-4.9794064,9.4256525,4.509615,-5.1265116,4.9415793,0.31914413,0.38824722,0.42927587,-0.287762,-0.12368606,0.26662654,-0.124538295,0.36374348,0.2148572,0.46392992,0.275962,-0.17951162,0.37012786,-0.17567284,0.14329661,-0.099341504
