timestamp,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11
0.0,-0.27532545,-0.1741975,1.8897413,1.5070188,0.6911923,2.5480375,-1.1092243,0.13755101,-0.5146152,0.9555074,0.032897055,1.6732162
0.02,-0.94868165,-0.6935162,3.235235,1.7271957,0.19665237,6.130377,-1.7826161,-4.4929533,-0.460474,2.225143,-1.1680043,1.406765
0.04,1.53901,-1.7442551,2.3608618,-0.05067637,-1.2511816,7.8014126,-1.3095131,-6.6210804,-0.30287838,1.6074718,-1.7765017,1.1095468
0.06,2.9785936,-2.6118908,3.854029,0.16929612,-2.4261549,8.197846,-2.4569006,-8.096832,3.9268713,-2.3009431,-2.9429028,-0.0067870487
0.08,3.7001832,-2.6686645,4.7159004,-1.3626091,-2.3337195,9.164746,-0.86744165,-6.983862,5.8335066,0.32415017,-1.7719078,2.5194347
0.1,2.3543062,-2.811987,4.6184506,0.067186125,-3.1139998,9.309043,-0.70712495,-7.8238344,6.1227098,-0.73936605,-2.8525887,1.105973
0.12000000000000001,2.557901,-2.3521962,4.6163716,-0.1297377,-2.5571914,9.65985,-0.51291406,-7.8203373,6.011202,-1.9080034,-3.2951212,0.2752514
0.14,2.3604896,-2.6327178,3.9919264,0.17339668,-2.7323837,8.7641735,0.17134039,-7.76585,7.239966,-2.772929,-3.8420632,0.81255096
0.16,1.9323794,-2.4321816,4.0190406,0.26906905,-2.805859,8.247063,0.74682957,-8.112914,8.39828,-3.0422993,-3.2756805,0.91766983
0.18,1.5623268,-2.5258808,3.5449753,0.59989536,-3.2086213,8.3646555,1.3311468,-8.399186,8.925464,-3.6889539,-3.913892,0.83658075
0.19999999999999998,1.5251857,-2.2218828,3.589844,0.4284533,-3.0508504,8.067707,1.4610239,-8.5478525,9.10992,-3.6376092,-3.4898648,1.0225961
0.21999999999999997,1.3568764,-2.1738899,3.465947,0.5282506,-3.295151,7.843807,1.2674118,-8.454414,9.2541685,-3.557441,-3.699411,1.0511
0.23999999999999996,0.81364876,-1.9351634,3.437047,-0.011053465,-3.3322911,7.779297,1.4284097,-8.839026,9.690865,-3.1961334,-3.4124055,1.1483008
0.25999999999999995,1.7224883,-2.9786546,3.325781,-0.73927474,-2.4694932,8.252661,-2.3052723,-7.7022705,10.649098,-2.371821,-4.3241544,0.26380566
0.27999999999999997,1.5936054,-2.4107556,3.1407483,-1.1160182,-2.6485696,7.325306,-2.9253078,-6.4959474,9.965671,-1.0679293,-4.466658,1.2400297
0.3,7.1831365,-9.997436,8.556397,3.9341645,-9.750588,6.2837534,0.4476503,-19.207092,13.414786,-2.3359725,-2.6731927,2.2829902
0.32,7.065206,-5.521047,5.4570546,1.2862678,-6.1212873,7.965369,-3.2661922,-11.270515,13.092742,-4.3058763,-6.3920364,1.4579911
0.34,2.2468464,-2.7095582,5.716863,-0.20570901,-4.2922854,9.28581,-4.4566636,-9.776228,11.993742,-3.4131148,-6.3446636,-0.8465911
0.36000000000000004,-0.20575379,-2.1477032,4.868645,-1.5668278,-3.1387963,6.1789746,-2.466041,-9.673014,11.180728,-2.258273,-4.3178754,0.7587236
0.38000000000000006,1.5099341,-2.4794471,3.1559532,-1.7117751,-3.444295,6.6575584,-2.3957973,-8.461218,9.25812,-3.2660625,-4.622107,1.842068
0.4000000000000001,1.1771761,-2.8993602,4.70852,-1.9023604,-2.8666744,7.4967136,-2.2744641,-8.21269,9.960612,-2.2259657,-4.3840966,1.9318038
0.4200000000000001,1.5324274,-2.9084568,4.143817,-1.0223894,-2.9273243,7.7997193,-1.3649802,-7.616578,10.160937,-2.8754706,-4.283893,1.7000531
0.4400000000000001,1.283481,-2.9706645,3.5962112,-0.42786476,-2.9263809,7.4301305,-0.7083946,-7.7304583,10.396712,-3.0737166,-4.1561365,1.4922173
0.46000000000000013,1.1302665,-2.9104853,3.8135636,-0.5815793,-2.5340562,6.933504,-1.0189579,-7.318843,10.76838,-2.444205,-3.6513033,1.5251062
0.48000000000000015,1.0195773,-2.924528,3.503685,-0.38755384,-2.5992467,6.852871,-0.82900745,-6.8577337,10.587458,-2.4780562,-3.9530218,1.4471858
0.5000000000000001,0.8937937,-2.963143,3.6377814,-0.61146945,-2.3814385,6.737225,-1.04382,-6.7458696,10.619381,-2.1118178,-3.6173763,1.507915
0.5200000000000001,1.217742,-2.6484604,3.835553,-0.5421915,-2.298775,6.6405883,-1.5911579,-6.4766726,10.210219,-1.7061503,-3.564754,1.3899388
0.5400000000000001,0.7793343,-3.044569,3.8507493,-1.0527439,-2.539982,6.81116,-1.0530434,-7.42193,10.469944,-2.3344824,-4.2624974,1.6884631
0.5600000000000002,1.2297723,-2.6768153,4.367794,-1.2506771,-2.3824246,6.5148277,-1.7527379,-7.0546894,10.839867,-2.0717802,-3.6368048,1.3235474
0.5800000000000002,0.60305035,-2.8054972,4.1355934,-1.4554199,-2.6878622,6.884787,-1.7023516,-7.4310694,10.505179,-2.0395098,-4.632154,1.3597748
0.6000000000000002,1.1999094,-2.576199,4.301479,-1.3131375,-2.370908,6.605385,-1.5977557,-7.109649,10.703348,-1.9780115,-3.6750023,1.2369543
0.6200000000000002,0.6052435,-2.6338656,4.2867546,-1.3495495,-2.6945302,6.5679207,-1.2429707,-7.5597067,10.497043,-2.0727308,-4.486173,1.3823214
0.6400000000000002,1.4789255,-2.788471,4.1268115,-1.0226483,-2.461849,6.530317,-1.3535289,-7.099118,10.721215,-2.1085393,-3.6306047,1.3912516
0.6600000000000003,0.80825096,-2.851121,4.1120224,-1.0684581,-2.8189669,7.056181,-1.2284758,-7.572648,10.576924,-2.1918507,-4.617584,1.3459064
0.6800000000000003,1.3637326,-2.753554,3.9103553,-1.0825782,-2.2993546,6.3619413,-1.5105617,-6.864443,10.455574,-2.0370612,-3.2368505,1.2039182
0.7000000000000003,0.7103768,-2.7006369,3.9168499,-0.9316731,-2.7349591,6.842888,-1.4826392,-7.369775,10.107087,-1.9009316,-4.532076,1.3113294
0.7200000000000003,1.4489095,-2.7492943,4.252189,-1.2948306,-2.3527267,6.4350443,-1.5743908,-7.306986,10.837825,-1.9324566,-3.2844598,1.1490871
0.7400000000000003,0.7564018,-2.6038103,4.28826,-1.2697294,-2.6192937,6.255165,-1.7309463,-7.7440763,10.309169,-1.7751539,-4.026533,1.1792693
