timestamp,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
0.0,1.492989,0.03433043,0.2762929,-0.5558818,1.9766518,0.3415142,-0.10389434,-1.5070347,-0.13668554,0.46465954,0.19916816,3.0534039
0.02,5.74327,-0.42839223,-1.8917071,-1.3863602,2.5358002,1.949517,0.038632825,-3.2160394,0.70762056,0.2482326,0.35968533,5.0220094
0.04,8.987245,-0.6947501,-3.1538873,-2.6328824,3.5337567,3.7102606,-0.25109014,-4.7499666,1.1552669,0.72822356,0.16651532,7.540275
0.06,12.177674,-0.7221459,-4.5811133,-3.7400723,4.187147,5.254243,-0.6754637,-6.226163,1.5836136,1.152472,0.017395664,9.65024
0.08,14.989661,-0.823683,-6.0220513,-5.112084,5.5212097,6.880286,-0.99884474,-7.255167,2.275225,1.6393179,-0.6903286,12.226916
0.1,18.222666,-1.310195,-7.057309,-6.4121094,7.8279524,8.523494,-1.0683631,-9.045576,2.8491435,2.043166,-1.1620167,15.920935
0.12000000000000001,18.355795,-0.1803577,-8.874418,-8.150509,5.7479386,10.357094,-1.8225362,-7.5357237,2.996039,2.896269,-2.604652,14.282894
0.14,11.5996685,1.2860361,-7.970898,-8.783288,2.8276713,9.59512,-2.740282,-2.1681898,2.020894,4.0697675,-4.1533065,8.989483
0.16,0.6247159,1.9760182,-4.0732665,-6.3880935,0.87321275,6.369163,-2.784419,3.827603,0.9603721,4.0496097,-3.984429,2.092703
0.18,-4.076449,3.6347606,1.5630642,-0.58725196,3.4826994,0.694877,-1.3660923,-1.2009785,-0.16093136,2.831651,0.1741712,5.0935273
0.19999999999999998,2.4115384,-0.60674554,0.33648747,-0.6485708,-0.15687019,1.1091762,-1.5258955,-3.0162423,-1.1980656,0.30811653,0.29572535,1.0807437
0.21999999999999997,6.033896,-0.667032,-1.6627407,-1.5554494,3.2475502,2.025449,0.0029804874,-3.6542523,0.6557936,0.37474713,0.29100588,5.8501863
0.23999999999999996,4.4970655,1.1733346,-2.3792028,-1.8780215,-0.9228425,2.7911043,-1.9256254,-2.4334311,0.07829707,1.058918,-0.15327616,2.0050945
0.25999999999999995,-1.55293,1.4036121,-0.26500636,-0.8623282,-4.2482104,1.8224963,-3.1353035,1.0305507,-2.0871973,0.25945255,-1.9523877,-3.9129734
0.27999999999999997,-3.8720553,1.2452774,-0.55799675,2.2119265,-2.5594964,1.0192376,0.5551059,0.32442757,0.0810341,0.06371736,-0.20725401,-0.7033848
0.3,-0.00021616742,-2.3675888,-2.1943917,2.0630422,0.7921574,-4.433009,-2.5382144,4.097673,3.3193274,-3.3528316,-9.845989,5.286388
0.32,-6.385246,3.9365897,-3.1293728,5.3867445,-1.553343,-1.6041386,0.06756683,0.5889008,-0.35939422,1.8562273,-0.40938064,7.055946
0.34,-0.8319575,0.7964778,-0.8039739,1.7402431,-0.21613027,-0.8338221,0.16255964,0.10638997,0.5453464,-0.22258404,-1.0284833,2.3915133
0.36000000000000004,0.18957801,0.43511403,-0.45308274,-0.14380412,-1.9594972,-0.36700878,-1.6162217,1.3364561,-0.20978834,-0.17168972,-2.668037,-0.14694759
0.38000000000000006,0.25290945,0.55384254,0.7477732,-1.0026572,-2.7939715,1.5347586,-1.9881257,-0.48161456,-1.8401858,-0.15730152,-1.3889908,-2.1248875
