timestamp,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,obs_64
0.0,-57.767662,28.878407,473.6143,-0.02996287,-0.04075415,0.015749563,-0.024942834,0.037854206,0.020895995,0.0,0.0,0.0,0.0,0.003946288,0.99365544,-1.808797,0.009516589,1.006711,-1.8008506,0.0095381,0.99761915,-1.8090811,-0.005488687,0.999647,-1.8016421,-0.04219031,-0.016205026,0.03257859,-0.016985316,0.01744997,-0.044235654,-0.02024671,0.010428034,-0.0124785965,-0.021006856,0.047265634,0.04856363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.063628234,-0.11670637,-0.46326017,0.008240037,-0.2620574,0.14732808,0.09351937,0.0940281,-0.21823698,0.19323537,-0.4392857,-0.43681115,0.4075798,-0.22564384,0.46213534,0.093170516
0.02,8.847803,3.6712446,122.128426,-0.02382183,-0.85774714,-0.05962632,-0.015265049,0.009275733,0.0045719896,0.0,0.0,0.0,0.0,-0.019539274,-0.1454632,0.43592095,0.040391773,-0.25039348,0.3920042,-0.064935125,-0.13810709,0.42257372,0.10717195,-0.16646871,0.42299947,0.09761321,-0.71578777,1.4349047,0.058853343,-1.2668487,1.3760177,-0.28606835,-0.6666637,1.4442047,0.49295238,-0.75367415,1.4136671,27.092485,-56.220905,25.19054,-11.582089,-5.2171926,51.515736,57.18928,-30.607218,31.123327,-0.9601639,-17.489573,19.119482,0.21119668,-0.08537877,-0.47563154,0.31626233,0.4718235,0.22589906,0.49509478,0.40608406,-0.04947697,0.022276716,-0.29728314,0.40777746,-0.42557508,-0.2592218,-0.059331268,0.094660185
0.04,20.44258,6.2974505,23.497759,-0.050912973,-0.8441918,0.1860157,-0.008791994,-0.09818089,-0.029799841,0.0,0.0,0.0,0.0,0.14528808,-0.50607276,0.8073444,0.12692721,-0.8079104,0.7302075,-0.014297432,-0.50431824,0.82986915,0.21900907,-0.60384655,0.80759054,0.4633215,-1.1753231,0.5811322,0.47838375,-1.7346066,1.2074215,0.2924873,-1.0655546,0.6457204,-0.14138202,-1.1875591,0.7172806,9.112393,-7.1980925,26.877426,3.7323356,-7.0412292,48.741436,12.799292,-32.365612,27.012194,-12.998271,-19.327915,13.181563,-0.14749806,-0.37797067,0.1922016,0.14764662,0.18260048,-0.06909576,0.48264822,0.45907626,0.34631917,0.4422281,0.14263262,-0.4513814,-0.09991256,0.3950496,-0.2537388,0.15964688
0.06,45.13673,-9.77751,-29.822132,-0.18651548,-0.35542247,0.45968843,-0.009498519,-0.108369626,0.019988177,0.0,0.0,0.0,0.0,0.3208882,-0.81908375,0.9459815,0.27016944,-1.1428658,0.74272346,0.17407148,-0.7982042,1.0415478,0.0013618396,-0.8884187,1.0086316,0.52959794,-0.30355746,-0.15312591,0.39455163,-1.1459473,1.8355386,0.4480919,-0.4419645,0.26739186,-0.5970845,-0.38599768,0.28247002,5.486787,-4.7645655,18.4483,3.2922797,-2.539126,31.60276,19.410677,-28.191822,14.107153,-10.783806,-11.050242,9.001155,-0.3825511,-0.038842145,0.037111048,0.2220594,0.2731851,0.2578559,-0.12860923,-0.20770024,-0.27809647,0.27098402,-0.42673698,-0.07306926,-0.014464263,-0.20205191,0.3349693,-0.44513705
0.08,-21.541723,-15.490308,-4.2199078,0.019416172,0.026061166,0.3236901,-0.019639822,-0.13960105,-0.04744969,0.0,0.0,0.0,0.0,0.45333612,-0.9297441,0.9148066,0.32631356,-1.0437068,0.6285634,0.29869616,-0.93365175,1.0602945,-0.196894,-1.0383091,1.0728341,0.86980224,1.5044954,-3.9672065,0.2792984,0.545447,0.6803115,0.4334041,-0.39306602,0.026606197,-0.3906684,-0.45785752,-0.03998889,4.961301,-4.4191513,12.823952,3.2982316,0.047283694,22.902313,17.9945,-24.034706,7.270447,-7.7868943,-7.249603,7.8695645,-0.26484537,-0.3848915,0.2841872,0.4727567,0.44353884,-0.15046236,0.41728497,-0.29845876,-0.009840281,-0.33427796,0.19171171,-0.036041927,0.057320695,-0.044627428,-0.39470717,-0.42914924
0.1,25.078762,-3.9415154,6.6989913,-0.23593819,-0.1777656,0.6119977,0.038435638,-0.12297466,-0.01004373,0.0,0.0,0.0,0.0,0.4245946,-0.9801765,0.663353,0.12053367,-0.6981254,0.84262455,0.3576697,-1.0948527,1.0503271,-0.3520186,-1.2282271,1.0349063,0.280186,0.515342,-2.041997,-0.63618404,-0.29168826,3.4524853,0.19314128,-0.41067234,-0.06614717,-0.20804909,-0.41025016,-0.019941011,1.2239022,-3.4219754,5.17232,-1.3798546,-0.844709,9.555847,3.344385,-9.893355,4.47354,-3.0377395,-6.136672,3.6175551,-0.37169194,0.35396254,0.2113957,0.00050963106,-0.2684657,0.089934275,0.40434623,-0.011384404,0.2382946,0.27190587,-0.36867404,0.4939544,-0.14384942,-0.04790107,-0.11713207,-0.006702192
0.12000000000000001,-16.944717,-19.614904,15.444499,0.29801702,0.22139305,0.28024665,0.012143207,-0.14229688,0.01803832,0.0,0.0,0.0,0.0,0.49911857,-0.96359116,0.5762653,0.10561196,-0.36160618,0.98957545,0.46063417,-1.265938,1.0333377,-0.4709993,-1.229087,0.79434955,0.33802882,0.5258425,-0.49634573,0.3203891,0.2761959,1.9042232,0.1754522,-0.40858522,-0.08321663,-0.5309187,0.9818072,-2.3953426,3.0378876,-0.6242988,5.6721263,1.0894816,-0.5630576,10.401466,6.838897,-9.130418,4.8743978,-3.660255,-3.0521927,2.9255078,-0.2578909,-0.20579305,0.034072276,0.34937763,0.30570105,0.30319154,0.023466468,0.27250057,0.38434273,-0.10827327,-0.008940044,0.42498517,0.21820074,-0.20692536,0.36546537,0.44682974
0.14,-47.97889,-12.48915,23.885714,-0.54634017,-0.47183484,0.3213959,0.003660724,-0.08295896,0.044662606,0.0,0.0,0.0,0.0,0.33383182,-0.8901799,0.6179219,0.08002413,-0.11611928,1.0492989,0.47957224,-1.3943367,0.98874694,-0.3505103,-1.1690627,0.74677974,-0.19265874,0.8734618,-2.2262278,-0.3608039,-1.1091146,4.3497224,0.02571247,-0.27837586,-0.08641974,0.74809206,0.9877469,-2.235232,-0.4700862,-3.9573176,1.6150953,-2.1807203,-1.4594266,5.631485,5.217804,-6.0219364,3.991939,1.7060596,-2.2344651,4.270798,0.028938008,-0.49462837,-0.1724964,0.18238965,0.11023573,0.068161406,0.13534233,-0.14835577,-0.21811785,-0.3387895,0.41877395,0.13375579,0.31105578,-0.49190524,0.22389454,-0.35401657
0.16,-117.7388,9.145857,60.74447,-0.45596868,-0.7776188,0.1701956,-0.0035882734,-0.17324387,0.02260989,0.0,0.0,0.0,0.0,0.1073856,-0.9111802,0.59715486,-0.12369291,-0.00017681881,0.9872443,0.49888396,-1.3990008,0.8464411,0.063970804,-1.0975257,0.7487428,0.025442587,1.1131703,-2.5464077,-0.6190912,0.30601847,-0.8017583,0.24421167,1.053172,-2.7107933,0.51620615,1.2532129,-2.3849459,-0.07287005,-3.8369398,2.6314118,-3.7925763,-1.732309,3.9942062,3.93446,-3.9193041,4.7772455,5.4232965,-3.413908,4.5109596,-0.32062063,-0.06444084,-0.14108884,0.26543853,0.2664195,0.16756943,0.02045033,-0.31494442,-0.20661126,-0.33602008,-0.4719435,-0.47384393,0.017728658,-0.022635028,0.32420412,0.26230583
0.18,-129.92195,52.374283,65.32746,-0.039240554,-1.3248936,0.20230629,-0.07564666,-0.20998117,-0.009735008,0.0,0.0,0.0,0.0,0.08372445,-1.0768142,0.8308748,-0.37949735,-0.076114096,0.9014113,0.52267,-1.3191837,0.70859224,0.38237628,-1.1407967,0.8945453,0.5166343,0.52316684,-1.8070273,-0.63275295,0.939228,-3.2838342,0.13834633,1.0352552,-2.8919175,0.029753774,0.66626114,-1.8378397,1.328783,-7.28294,4.52614,-5.2423983,-1.341261,5.8612566,10.646805,-5.122583,10.179238,10.855824,-6.7702203,7.2681756,0.2289103,0.22963019,0.1616205,0.02480406,0.42904577,-0.21017645,0.06983377,0.20625958,0.48985925,0.2713715,0.4844096,0.07495165,-0.22447464,-0.05109814,0.2628375,-0.25611627
