timestamp,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,obs_64
0.0,0.12013868,0.03107034,-19.440712,-0.0012802288,-0.021182194,0.00202783,0.0011700916,0.029800698,0.02300223,0.0,0.0,0.0,0.0,0.001022313,0.9910418,-1.7904819,-0.0034558566,0.997013,-1.8064921,0.0015139283,1.0090107,-1.8058498,0.0044573466,1.0088271,-1.794047,0.040951405,-0.008481878,-0.07189592,0.011576053,0.07179291,-0.066736475,-0.0073711667,0.07326217,0.040144242,-0.07083305,-0.046180807,0.0003920303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23905504,0.22498101,0.063118674,0.46316266,0.33951572,0.13763207,-0.09437152,-0.4252475,-0.14896739,-0.13183925,-0.23033063,0.4310893,-0.15862861,0.40440163,-0.102265105,0.11459201
0.02,0.17814974,0.06348429,-19.42956,0.04300012,-0.033679727,-0.03760293,0.0009524569,0.049789894,0.044090852,0.0,0.0,0.0,0.0,-0.0027884967,0.00543362,0.0017376102,-0.00083076424,0.0030600503,0.0006434209,0.0033255448,-0.0017180656,-0.007310191,0.0042332276,0.0041857813,0.008385077,0.05993397,-0.070846595,0.06940469,-0.05229917,0.04461535,0.0016835091,-0.06281096,-0.030600684,0.013572292,-0.043524403,0.023117164,-0.002638546,-0.0033090096,-0.0017639482,-0.0018783577,0.005241436,0.0036939196,0.0022162765,0.0063848873,7.564336e-05,0.00077320216,0.0042587337,0.0015788628,-0.005051717,0.15941136,0.23305571,-0.3707973,-0.15682968,-0.17628713,0.24562621,0.194983,0.22566119,-0.3271001,0.4459429,-0.22430481,0.46148184,0.27609882,0.4597396,0.4744574,0.13719796
0.04,0.1622483,-0.16762617,-19.730114,0.0033730562,0.00908982,0.039146148,0.01655673,0.028480284,0.031315185,0.0,0.0,0.0,0.0,-0.0025718517,-0.0053499714,0.004943519,-0.00374578,0.00018262843,-0.008094303,0.0011559417,-0.0019860903,-0.008024874,-0.008085868,0.0063144946,-0.0017109396,0.046928067,-0.054815788,-0.065660626,-0.05980819,-0.04094604,0.042431403,0.008818002,0.0561643,-0.040969636,0.0064396355,-0.05461911,-0.015477417,-0.0057217954,-0.0042171604,-0.0006612828,0.0037929344,0.0034713773,0.0030557371,0.007727136,-0.0023651426,0.001527657,0.0042515993,0.00014723768,-0.0057296557,-0.42903093,-0.14150098,-0.12804002,-0.18433926,0.46248436,-0.27184054,-0.4474657,0.474845,-0.19339573,0.39531186,-0.021763252,-0.12554088,0.45093626,-0.35430518,0.42822805,0.18388198
0.06,-0.042942893,-0.120023884,-19.575191,0.018221343,0.04543591,0.049637772,-0.022621227,0.0096553415,0.045749154,0.0,0.0,0.0,0.0,-0.0007915081,0.005545057,0.0064703356,-0.00603015,-0.0034821935,0.009862724,-0.0033848619,0.0007896405,-0.007119024,0.0018353022,-0.0058374912,-0.004470688,-0.04101042,-0.0064501246,0.07468321,0.009373458,0.05296643,0.05712262,-0.034042213,0.008966864,0.040415537,-0.06187466,-0.05400921,-0.06982696,-0.0054551302,-0.0048328694,-0.00086285756,0.004394619,0.0032071578,0.0035942534,0.007666891,-0.0027344374,0.0018509869,0.0050945417,-0.00041564647,-0.0058054533,0.2968381,-0.06938179,0.33168778,0.23717219,-0.13949476,0.28335217,0.29649326,-0.22885689,-0.38412684,-0.034994308,0.47858074,-0.010556936,0.16325796,-0.10987034,-0.11143409,-0.4371464
0.08,-0.20100036,0.076429605,-19.411179,0.011382859,0.043178204,-0.031358395,0.029340029,0.03408189,-0.0007317789,0.0,0.0,0.0,0.0,-0.0012923643,0.0042420174,-0.008998191,-0.0016730955,0.009905097,0.009133644,0.0020989839,-0.009309242,-0.00905519,0.0059967404,-0.0025566507,0.0012343588,0.044523515,-0.05975539,-0.06629387,-0.0012345822,0.012175221,-0.038964886,-0.008482404,0.02799878,-0.006403028,0.027526448,-0.0012445473,0.043736767,-0.0047245394,-0.0043003275,-0.0014637099,0.0029715777,0.0028461376,0.0027212733,0.008469038,-0.0022486206,0.001088836,0.004898821,0.00011794595,-0.0055992166,0.47794637,-0.29767928,0.4147784,-0.10550069,0.35184485,-0.026249023,-0.33919352,-0.04507551,0.17258134,-0.26746657,-0.0863192,-0.39614484,0.07260026,-0.49178994,-0.33185875,-0.13335119
0.1,0.06483207,0.14165348,-19.68561,0.03309853,0.015344932,0.038887706,0.0030498907,0.020999396,0.029027732,0.0,0.0,0.0,0.0,-0.006355605,-0.0054685213,-0.0035379434,-0.0033236786,0.0011206523,0.0029208178,-0.005090851,0.00053863047,0.009292648,-0.0006075613,0.001679712,-0.003389682,-0.024620073,-0.027189575,0.020694572,0.012540903,-0.00044625258,0.015300289,0.043916997,-0.012764639,-0.013816971,-0.048265334,0.0614545,0.06959447,-0.0046104626,-0.0047403392,-0.0014457523,0.003565971,0.002931355,0.0029073292,0.007493117,-0.0018865287,0.00054237386,0.005472809,-0.00014341786,-0.0047845924,-0.034837645,-0.28257534,0.40742534,-0.35051078,0.0057393853,0.07317252,0.2502995,0.37486914,0.39152902,0.32091713,-0.46687773,0.28439727,-0.48207358,0.4818062,-0.41916853,-0.3274109
0.12000000000000001,0.011789418,0.073778816,-19.621138,0.03209014,0.032715514,0.03218825,0.039864164,0.03439856,0.04401638,0.0,0.0,0.0,0.0,-0.002767476,0.0021335324,0.0012078448,-0.004097519,0.006802122,-0.00043880564,0.006508206,-0.0014016955,0.0030740555,-0.008259075,-0.007195521,-0.008386909,0.067923605,0.06370512,-0.068543926,-0.035831373,0.010343516,0.060209114,-0.04979996,-0.0030804803,-0.047969498,0.06254289,0.018469378,-0.06203695,-0.0052656084,-0.004754483,-0.001542984,0.00393068,0.0034865905,0.0021164513,0.008027328,-0.0014725819,0.0010048165,0.00478425,0.00035278348,-0.0055833403,0.40840906,-0.40264446,-0.017936658,-0.19516292,0.07686167,0.16660944,0.11646973,0.49224854,0.13363151,-0.47067636,0.48805976,0.4915984,0.09686388,0.19368455,0.04765644,0.06425653
0.14,0.10809519,-0.19087744,-19.40217,0.023400448,0.03373258,0.020553248,0.005279554,0.028629519,-0.033525616,0.0,0.0,0.0,0.0,-0.0043538813,-1.9072673e-05,0.009905706,0.0011786112,0.004541836,-0.00042240508,0.009054853,-0.0026833976,0.0005234164,-0.00082051137,-0.008647268,-0.008398667,0.03555187,-0.030260831,0.046180062,0.0057474584,-0.011719776,-0.0029646491,-0.052714195,0.009197985,-0.064294904,0.06449183,-0.02228216,0.073388085,-0.0048826537,-0.0050871465,-0.0009923445,0.0037116786,0.0034354406,0.0024714484,0.007485239,-0.0023473988,0.0014660736,0.004925444,-4.4295215e-05,-0.005862274,-0.044042666,-0.4274332,-0.32075575,0.013752072,-0.43973035,-0.40319198,0.40793368,-0.14096324,0.34077436,0.46489647,-0.42094356,0.3777464,-0.49391204,0.492587,-0.37815738,-0.057952233
0.16,-0.14739208,-0.09854457,-19.694284,0.04794639,-0.0153687075,-0.014977069,0.04730255,0.04030216,0.047687676,0.0,0.0,0.0,0.0,-0.0064396593,7.8873825e-05,-0.006058403,-0.008924677,-0.009777501,-0.0088926,-0.0038777571,0.006058946,0.0043987604,0.004294094,-0.003208096,0.0060385996,0.040270917,0.0696405,-0.060872268,0.03442932,0.0077324407,-0.020985486,-0.062411424,0.03946951,0.06825485,0.04844924,-0.02849181,-0.027672198,-0.0054628407,-0.0041263946,-0.0013388053,0.0031340946,0.0033794,0.0025001299,0.0072529726,-0.0011548778,0.00036471896,0.0042626085,0.00021504436,-0.0052842777,-0.025492828,0.2106003,-0.043242794,0.42263314,-0.043188717,0.18208307,0.36014473,0.101883456,-0.169933,0.01696706,0.30004287,0.49442193,0.23105633,-0.068640776,-0.4642544,-0.27784324
0.18,-0.0015139104,0.035353623,-19.633314,0.022034783,-0.02085753,-0.017471353,0.042323202,0.0038872492,0.009115291,0.0,0.0,0.0,0.0,0.0068808356,-0.0031066458,-0.0034481601,0.008291151,0.009327615,-0.0009310296,-0.0024757034,0.009303611,0.0032707336,0.0075672907,-0.0013983598,-0.0040811505,-0.03931398,0.023517404,-0.016916027,0.030882169,-0.057833087,-0.011182718,0.02386376,-0.031237215,-0.0058253417,-0.008927632,-0.059915423,-0.023651687,-0.0041922913,-0.0040696426,-0.0014291587,0.0028680786,0.0029611764,0.0029144557,0.008060945,-0.0018356461,0.0007903443,0.004364661,0.00031126954,-0.0056920247,-0.08454327,-0.21021591,0.2083262,-0.49858156,0.401147,-0.45635772,-0.17822066,0.146831,0.29042137,0.31867033,-0.20693696,-0.1255887,-0.23516323,0.307367,-0.20894334,-0.45688066
