timestamp,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,obs_64
0.0,0.076282844,0.07019984,-19.444849,-0.049202528,0.005707702,0.04839906,-0.003260846,0.031322338,-0.028549034,0.0,0.0,0.0,0.0,0.0041310475,1.0041181,-1.8034514,0.0077635874,1.000133,-1.799677,-0.0019460791,1.0023656,-1.8052268,-0.0025337816,0.99195015,-1.7911489,-0.017942676,0.06913899,0.0106212925,-0.03158226,0.0061711785,-0.0026850456,0.051266287,0.04434949,-0.067257285,0.018151514,0.037460074,0.0054702936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14379753,0.2636736,0.05451232,0.019476773,0.017431349,0.14766097,-0.24303459,-0.46456462,0.14578186,0.08964025,0.41927695,-0.16085719,0.06863916,-0.2929192,0.352381,-0.018558761
0.02,1.1618086,-0.8686678,-21.035124,0.15540873,0.18879192,-0.004696142,0.021807088,0.01069361,-0.04158417,0.0,0.0,0.0,0.0,0.003712511,-0.02310822,0.1585208,0.07373964,0.019576887,0.20177558,-0.022690067,0.010199898,-0.013456675,0.03176161,-0.018321158,0.1598249,-0.11836962,0.0367232,0.5673996,0.30611256,0.21720298,0.6374009,-0.12218488,0.066463016,0.031130444,0.20380205,-0.045520995,0.52460325,-0.43874982,-0.0286858,1.8416688,1.4138086,0.6699541,2.518064,-0.77067745,-0.049055845,-0.15235981,0.7293154,-0.113028586,1.8577945,0.41362274,-0.063603215,-0.12777735,0.35102034,0.080451265,0.11718274,0.13911416,-0.2931642,0.43516564,-0.17364721,0.38615417,-0.32684746,-0.43847913,-0.19664836,0.1011186,-0.09956034
0.04,2.575682,0.328779,-17.983482,-0.2274151,-0.4778259,-0.10764665,0.048944082,0.02312654,-0.023916567,0.0,0.0,0.0,0.0,-0.059643976,-0.07018933,0.42036414,0.1981525,0.10225856,0.5236843,-0.12159452,-0.17410974,0.022094015,0.1749802,-0.08596787,0.26605886,-0.24131353,-0.15324083,0.6061619,0.33043638,0.17420147,0.8154192,-0.36049548,-0.9092183,0.02027644,0.51945776,-0.4280373,0.0074126846,-0.8427536,-0.7479469,3.140676,1.5567172,0.69483536,5.344943,-1.4116421,-3.705546,-0.12752244,1.7569605,-1.4307752,1.1875241,-0.15454368,0.19673118,-0.47035292,-0.39364132,0.2862533,-0.43210188,-0.16755746,0.4116523,-0.4946446,0.13210005,-0.49970242,-0.4221203,0.007114975,0.23375955,-0.15142542,-0.09394381
0.06,-12.106475,-0.5886271,-4.2064276,-0.29522413,-0.8742728,-0.11481325,0.031804528,-0.062988505,-0.031025011,0.0,0.0,0.0,0.0,-0.036541887,-0.21776909,0.5575042,0.18119133,0.018887553,0.7796033,-0.19567865,-0.7074464,0.014944594,0.33079672,-0.23439993,0.2294883,0.3517543,-0.41898352,0.124883585,-0.3170742,-0.4407113,0.37221396,-0.016161503,-1.5008131,-0.1396251,0.20965438,-0.21152093,-0.1921374,1.2500212,-1.709731,2.3658655,-0.17509156,-1.1255654,7.190907,-0.6648054,-5.9613976,0.25663793,1.4171903,-1.1310688,0.61606777,-0.3807473,0.27209085,-0.0637176,-0.12802917,0.22496088,-0.3843699,-0.20428735,0.01881463,-0.47599053,-0.36566538,-0.2972615,0.19554949,0.19780686,-0.37159953,-0.18130147,0.33040065
0.08,-2.8982728,-2.573423,-13.831401,-0.7513005,-0.32524252,0.14143771,-0.046123784,-0.17477757,0.0453581,0.0,0.0,0.0,0.0,0.17087916,-0.39858362,0.7187528,0.017279858,-0.21853314,0.87140226,-0.29533765,-1.2371867,0.2620558,0.16309987,-0.34540468,0.1631675,0.6377531,-0.43711042,0.4622456,-0.19279253,-0.6334089,0.11441135,-0.39337975,-1.1170305,0.9519104,-0.92395705,-0.36135495,-0.22792457,2.7096243,-2.3601117,3.8686836,-0.19156256,-2.6137261,8.083891,-1.8958025,-7.404341,3.4576786,-1.8997532,-2.0923593,0.20731454,0.29150924,-0.2743934,-0.14344868,-0.26172206,-0.19634148,0.22169113,-0.025737336,-0.4514757,-0.13925274,0.35753694,0.35987267,0.16539863,0.28774098,-0.0788972,0.40992177,-0.3511679
0.1,1.066851,-1.8497368,-19.822973,0.14314753,-0.16687673,0.1761907,-0.11716795,-0.10791268,0.01791774,0.0,0.0,0.0,0.0,0.38907915,-0.4654985,0.8143928,-0.015772201,-0.45832986,0.9363773,-0.315389,-1.539773,0.5683171,-0.124323346,-0.49495673,0.21870187,0.41625324,-0.1281938,0.21670157,-0.23551528,-0.4313805,0.08837868,0.2124275,-0.4487267,0.6661776,-0.43574753,-0.37711972,0.22867918,3.0024624,-2.3364007,4.4003477,-0.9725864,-2.4785411,8.343493,-0.21771733,-6.7210865,6.1694613,-0.88857055,-3.0802727,1.4689738,-0.37615606,-0.2838693,0.4190568,-0.38878998,-0.37109795,-0.06751342,0.16309032,-0.3131519,0.26920393,0.41761875,-0.11863987,-0.38258162,-0.24811864,0.3414894,-0.4723435,-0.033783022
0.12000000000000001,-2.4186506,1.3496296,-20.701147,0.14949471,-0.010833996,0.0388259,-0.061453827,-0.18693502,-0.014892738,0.0,0.0,0.0,0.0,0.48141637,-0.494926,0.9019377,-0.02955439,-0.58017164,0.96029025,-0.24882668,-1.6193746,0.77491874,-0.18636845,-0.5731105,0.20307049,0.11055709,0.016943322,0.16151547,0.03401069,-0.32580972,-0.01209694,0.11492077,-0.08934745,0.412308,-0.095345765,-0.03744348,-0.07642612,2.5536244,-2.1726842,4.5765047,0.07589511,-3.0333502,8.692364,-0.92484206,-7.7995825,6.992942,-0.751233,-2.4341848,0.6532461,-0.43794048,-0.10551726,-0.16419719,0.4356882,0.191018,-0.42584994,-0.30344096,-0.2855072,0.10094464,-0.33528993,0.32497603,0.08897692,0.063523255,0.20466825,0.3662994,0.089051716
0.14,-2.2786155,2.2480624,-19.760363,-0.13951726,0.03570486,0.12822856,-0.05333221,-0.16315328,-0.0047422675,0.0,0.0,0.0,0.0,0.50867677,-0.5706682,0.937505,-0.038034454,-0.6243105,0.97061056,-0.21709375,-1.6481489,0.8757667,-0.30761048,-0.6499357,0.14857034,0.048865214,-0.28366506,0.027715703,-0.06395824,0.05246063,0.05026656,0.20963643,-0.0061412635,0.19389015,-0.49356878,-0.27567753,-0.13655037,2.8015954,-2.8445482,4.421646,-0.4427714,-2.3471131,9.22756,-0.37003702,-7.4178286,6.3426614,-2.1401832,-3.321944,0.28589678,-0.39633867,0.03537607,0.033432893,-0.27253857,-0.27221933,-0.12693216,0.16719736,-0.46070412,-0.35267752,0.2819725,-0.082572974,-0.022601144,-0.0048508053,0.43376127,-0.12990019,-0.43234122
0.16,-3.1801872,3.3629708,-19.625116,0.20327619,0.020769533,0.081440054,-0.12393458,-0.1670409,-0.020894459,0.0,0.0,0.0,0.0,0.47729483,-0.5715412,0.9677062,-0.011130992,-0.640396,0.9764685,-0.111769855,-1.6704966,0.93119824,-0.42418385,-0.75137985,0.14696415,-0.06261578,0.09768523,-0.020723278,0.160973,-0.09376247,-0.013256489,0.2795545,0.009128907,0.092602745,-0.15550996,-0.1683831,-0.07355843,1.8010418,-2.0170116,4.0182867,0.28320655,-2.7740173,8.517349,0.021496579,-7.4991617,7.7438507,-2.2024963,-3.4713395,0.6568121,0.45781943,0.113784574,0.42804253,0.42593175,0.07651514,-0.3701024,0.07913582,-0.33252674,0.28013062,-0.13447131,0.17328174,-0.39300045,-0.40258014,-0.014849735,-0.27339152,-0.39435837
0.18,-2.738447,1.7263486,-19.57717,0.1251852,0.094762355,0.05759772,-0.024704907,-0.10657183,0.03113985,0.0,0.0,0.0,0.0,0.49696255,-0.59485966,0.9452836,0.026276195,-0.6654987,0.9878023,-0.02559033,-1.6738082,0.9629243,-0.46297336,-0.82498485,0.16170873,-0.024207657,-0.258224,-0.14041802,0.06929579,0.0020404665,-0.054449398,0.1631341,0.04184006,0.0154298,-0.08028311,-0.09471831,0.0935193,2.007819,-2.874749,3.541411,0.3232647,-2.7786982,7.8366294,0.44288826,-7.874235,8.420851,-3.2104192,-3.5048382,0.8893003,-0.19566543,-0.4086226,-0.26836312,-0.34285387,-0.19448026,0.49765942,-0.49048463,-0.15806662,-0.49391663,-0.4289441,-0.40616763,0.31490245,0.42381072,0.14807971,-0.33502418,-0.17085013
